SAPCode,storeName,date,day,WKNO,OPNSVTarget,walkins,bills,mensVol,womensVol,totalVol,GSV,MRP
1044,Gurunanak Enterprises,2024-01-01,Sunday,1,1,101,400,1,10,11,10001,100
1110,SALASAR TRADING COMPANY ,2024-01-02,Monday,1,2,102,401,2,9,11,10002,200
1123,Addon Holding Pvt. Ltd,2024-01-03,Tuesday,1,3,103,402,3,8,11,10003,300
1130,P Dharmendra,2024-01-04,Wednesday,1,4,104,403,4,7,11,10004,400
1180,A B Traders,2024-01-05,Thursday,1,5,105,404,5,6,11,10005,500
1990,Keya Apparels  ,2024-01-06,Friday,1,6,106,405,6,5,11,10006,600
2711,CHAITANYA STYLE HOUSE,2024-01-07,Saturday,2,7,107,406,7,4,11,10007,700
2801,Sri Lakshmi Enterprises,2024-01-08,Sunday,2,8,108,407,8,3,11,10008,800
2824,Haarish Readymades,2024-01-09,Monday,2,9,109,408,9,2,11,10009,900
2837,Tejha Retail,2024-01-10,Tuesday,2,10,110,409,10,1,11,10010,1000
